Trigger_Date,2023/06/23
Trigger_Time,T 08:29:51.065 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.511
Time (ms),Voltage (V),Current (A)
-2.08,148.769,-0.79
-2.05,145.189,-0.813
-2.02,142.136,-0.584
-1.98,140.03,-0.344
-1.95,138.065,-0.447
-1.92,135.538,-0.676
-1.89,131.958,-0.882
-1.85,127.641,-1.02
-1.82,122.903,-1.054
-1.79,118.341,-0.974
-1.76,114.2,-0.882
-1.72,110.655,-0.687
-1.69,107.953,-0.493
-1.66,105.531,-0.55
-1.63,102.478,-0.745
-1.59,98.653,-0.939
-1.56,93.985,-1.1
-1.53,88.966,-1.123
-1.5,84.193,-0.997
-1.46,80.052,-0.836
-1.43,76.683,-0.664
-1.4,73.875,-0.561
-1.37,71.384,-0.515
-1.33,68.681,-0.664
-1.3,65.137,-0.871
-1.27,61.031,-0.951
-1.24,56.819,-0.905
-1.2,53.029,-0.756
-1.17,49.8,-0.653
-1.14,46.922,-0.63
-1.11,43.869,-0.687
-1.07,40.395,-0.836
-1.04,36.218,-1.008
-1.01,31.551,-1.042
-0.98,27.058,-0.962
-0.94,22.987,-0.825
-0.91,19.618,-0.676
-0.88,16.776,-0.573
-0.85,14.108,-0.596
-0.81,11.125,-0.71
-0.78,7.51,-0.836
-0.75,3.755,-0.871
-0.72,0.035,-0.79
-0.68,-3.545,-0.745
-0.65,-6.914,-0.733
-0.62,-10.072,-0.653
-0.59,-12.985,-0.642
-0.55,-16.425,-0.848
-0.52,-20.601,-0.997
-0.49,-25.023,-0.962
-0.46,-29.199,-0.882
-0.42,-33.025,-0.825
-0.39,-36.639,-0.756
-0.36,-40.079,-0.733
-0.33,-43.553,-0.79
-0.29,-47.238,-0.813
-0.26,-50.713,-0.745
-0.23,-54.187,-0.756
-0.2,-57.661,-0.768
-0.16,-61.101,-0.745
-0.13,-64.505,-0.733
-0.1,-67.979,-0.779
-0.07,-71.559,-0.779
-0.03,-75.174,-0.79
0.0,-78.578,-0.71
0.03,-81.877,-0.699
0.07,-85.316,-0.813
0.1,-89.212,-0.916
0.13,-93.353,-0.916
0.16,-97.53,-0.905
0.2,-101.425,-0.825
0.23,-104.865,-0.676
0.26,-107.602,-0.527
0.29,-109.953,-0.458
0.33,-112.375,-0.596
0.36,-115.569,-0.79
0.39,-119.604,-0.997
0.42,-124.062,-0.974
0.46,-128.203,-0.882
0.49,-131.537,-0.63
0.52,-134.415,-0.619
0.55,-137.363,-0.664
0.59,-140.591,-0.733
0.62,-144.171,-0.859
0.65,-147.926,-0.79
0.68,-151.506,-0.79
0.72,-154.735,-0.676
0.75,-156.876,-0.298
0.78,-158.35,-0.321
0.81,-160.736,-0.676
0.85,-164.211,-0.871
0.88,-168.141,-0.871
0.91,-172.142,-0.916
0.94,-175.967,-0.779
0.98,-178.845,-0.504
1.01,-180.881,-0.389
1.04,-182.846,-0.447
1.07,-185.197,-0.573
1.11,-188.04,-0.687
1.14,-191.515,-0.848
1.17,-195.445,-0.916
1.2,-199.306,-0.813
1.24,-202.394,-0.573
1.27,-204.395,-0.332
1.3,-205.728,-0.218
1.33,-206.781,-0.241
1.37,-208.185,-0.332
1.4,-210.115,-0.504
1.43,-212.958,-0.71
1.46,-216.116,-0.699
1.5,-218.748,-0.493
1.53,-220.538,-0.263
1.56,-221.451,-0.137
1.59,-222.118,-0.115
1.63,-223.276,-0.344
1.66,-225.417,-0.607
1.69,-228.47,-0.733
1.72,-231.593,-0.676
1.76,-234.401,-0.584
1.79,-236.647,-0.435
1.82,-238.437,-0.321
1.85,-239.946,-0.309
1.89,-241.595,-0.389
1.92,-243.526,-0.47
1.95,-245.456,-0.412
1.98,-247.772,-0.573
2.02,-250.404,-0.607
2.05,-252.194,-0.229
2.08,-252.686,0.034
2.11,-252.861,-0.08
2.15,-253.703,-0.263
2.18,-255.423,-0.458
2.21,-258.09,-0.687
2.24,-261.249,-0.745
2.28,-264.232,-0.584
2.31,-266.197,-0.309
2.34,-267.075,-0.08
2.37,-267.496,-0.057
2.41,-268.163,-0.218
2.44,-269.672,-0.435
2.47,-272.058,-0.607
2.5,-274.725,-0.607
2.54,-277.007,-0.412
2.57,-278.059,-0.057
2.6,-278.165,0.046
2.63,-278.235,-0.069
2.67,-278.481,0.0
2.7,-279.253,-0.298
2.73,-281.218,-0.573
2.76,-283.64,-0.527
2.8,-285.675,-0.401
2.83,-287.64,-0.458
2.86,-289.641,-0.412
2.89,-291.08,-0.252
2.93,-291.711,-0.023
2.96,-292.027,-0.092
2.99,-293.01,-0.332
3.02,-294.308,-0.252
3.06,-294.87,0.011
3.09,-295.256,-0.137
3.12,-296.239,-0.309
3.15,-297.327,-0.183
3.19,-297.221,0.195
3.22,-296.73,0.092
3.25,-297.572,-0.424
3.28,-299.187,-0.367
3.32,-299.187,0.149
3.35,-298.801,-0.046
3.38,-299.678,-0.344
3.41,-300.45,-0.149
3.45,-300.345,0.023
3.48,-300.555,-0.172
3.51,-301.257,-0.218
3.54,-301.678,-0.115
3.58,-301.854,-0.092
3.61,-301.994,-0.092
3.64,-301.749,0.103
3.67,-300.555,0.389
3.71,-298.73,0.458
3.74,-297.327,0.206
3.77,-297.221,-0.126
3.8,-297.818,-0.195
3.84,-298.274,0.0
3.87,-297.643,0.275
3.9,-295.782,0.573
3.93,-293.15,0.642
3.97,-290.869,0.412
4.0,-290.202,-0.069
4.03,-291.501,-0.493
4.06,-293.642,-0.481
4.1,-294.484,0.034
4.13,-292.764,0.687
4.16,-288.763,1.111
4.19,-283.885,1.134
4.23,-279.498,0.848
4.26,-277.007,0.344
4.29,-276.34,-0.046
4.32,-276.55,-0.092
4.36,-276.55,0.069
4.39,-275.603,0.344
4.42,-273.251,0.676
4.45,-270.198,0.722
4.49,-267.426,0.538
4.52,-265.671,0.298
4.55,-264.688,0.137
4.58,-264.232,0.069
4.62,-263.881,0.08
4.65,-263.039,0.252
4.68,-260.898,0.687
4.71,-257.809,0.733
4.75,-255.739,0.252
4.78,-254.756,0.126
4.81,-253.844,0.241
4.84,-252.861,0.252
4.88,-251.738,0.229
4.91,-250.194,0.412
4.94,-247.562,0.733
4.97,-244.157,0.802
5.01,-241.209,0.561
5.04,-239.139,0.367
5.07,-237.349,0.424
5.1,-235.489,0.412
5.14,-233.875,0.332
5.17,-232.085,0.424
5.2,-229.874,0.584
5.23,-227.382,0.55
5.27,-225.171,0.447
5.3,-223.241,0.401
5.33,-221.521,0.355
5.36,-220.082,0.286
5.4,-218.713,0.321
5.43,-216.853,0.504
5.46,-214.256,0.642
5.49,-211.308,0.676
5.53,-208.36,0.676
5.56,-205.553,0.596
5.59,-203.412,0.355
5.62,-202.043,0.252
5.66,-200.674,0.332
5.69,-198.709,0.55
5.72,-195.831,0.733
5.75,-192.357,0.802
5.79,-188.847,0.813
5.82,-185.443,0.733
5.85,-182.46,0.596
5.88,-179.617,0.676
5.92,-177.477,0.321
5.95,-175.967,0.321
5.98,-173.651,0.664
6.01,-170.142,0.905
6.05,-166.667,0.71
6.08,-163.649,0.63
6.11,-161.227,0.447
6.14,-159.227,0.435
6.18,-156.63,0.71
6.21,-153.331,0.768
6.24,-149.821,0.802
6.27,-146.312,0.768
6.31,-143.118,0.676
6.34,-140.276,0.584
6.37,-137.749,0.55
6.4,-135.117,0.63
6.44,-132.133,0.699
6.47,-128.764,0.813
6.5,-124.799,0.951
6.53,-120.306,1.042
6.57,-115.849,0.951
6.6,-112.129,0.733
6.63,-109.251,0.561
6.66,-106.689,0.573
6.7,-103.741,0.733
6.73,-100.127,0.882
6.76,-95.81,1.02
6.79,-91.037,1.111
6.83,-86.299,1.02
6.86,-82.158,0.848
6.89,-78.719,0.699
6.92,-75.771,0.619
6.96,-72.963,0.63
6.99,-69.839,0.733
7.02,-66.33,0.859
7.05,-62.469,0.859
7.09,-58.539,0.894
7.12,-54.503,0.928
7.15,-50.432,0.882
7.18,-46.712,0.779
7.22,-43.413,0.722
7.25,-40.254,0.687
7.28,-36.92,0.756
7.31,-33.2,0.916
7.35,-28.954,0.985
7.38,-24.707,0.916
7.41,-20.811,0.825
7.44,-17.372,0.745
7.48,-14.003,0.733
7.51,-10.599,0.756
7.54,-7.159,0.779
7.58,-3.65,0.779
7.61,-0.175,0.768
7.64,3.229,0.733
7.67,6.703,0.813
7.71,10.248,0.779
7.74,13.863,0.779
7.77,17.723,0.916
7.8,21.689,0.916
7.84,25.479,0.802
7.87,29.059,0.768
7.9,32.568,0.768
7.93,35.938,0.756
7.97,39.447,0.779
8.0,42.886,0.779
8.03,46.291,0.71
8.06,49.484,0.71
8.1,52.888,0.768
8.13,56.503,0.836
8.16,60.223,0.836
8.19,64.154,0.916
8.23,68.26,0.928
8.26,72.156,0.825
8.29,75.42,0.63
8.32,78.192,0.607
8.36,80.965,0.642
8.39,83.913,0.676
8.42,87.177,0.768
8.45,91.002,0.939
8.49,95.284,0.985
8.52,99.495,0.916
8.55,103.11,0.745
8.58,106.198,0.63
8.62,109.006,0.63
8.65,111.954,0.676
8.68,115.288,0.813
8.71,119.254,0.951
8.75,123.57,0.962
8.78,127.641,0.882
8.81,131.221,0.733
8.84,133.958,0.493
8.88,136.029,0.401
8.91,138.345,0.596
8.94,141.399,0.768
8.97,145.189,0.894
9.01,149.506,1.008
9.04,154.033,1.02
9.07,157.788,0.699
9.1,160.245,0.401
9.14,162.105,0.412
9.17,164.211,0.504
9.2,166.772,0.642
9.23,170.036,0.813
9.27,173.827,0.894
9.3,177.477,0.768
9.33,180.424,0.584
9.36,182.635,0.412
9.4,184.355,0.367
9.43,186.356,0.515
9.46,189.479,0.848
9.49,193.515,0.985
9.53,197.656,0.871
9.56,201.06,0.653
9.59,203.412,0.435
9.62,204.921,0.252
9.66,206.079,0.241
9.69,207.483,0.378
9.72,209.589,0.55
9.75,212.221,0.653
9.79,215.169,0.687
9.82,217.836,0.55
9.85,219.766,0.332
9.88,220.714,0.126
9.92,221.451,0.183
9.95,222.995,0.47
9.98,225.627,0.722
10.01,228.856,0.745
10.05,231.839,0.607
10.08,234.366,0.515
10.11,236.436,0.424
10.14,237.595,0.126
10.18,237.875,-0.023
10.21,238.998,0.447
10.24,241.631,0.756
10.27,244.824,0.687
10.31,247.105,0.389
10.34,248.825,0.355
10.37,250.79,0.504
10.4,252.721,0.389
10.44,254.054,0.218
10.47,255.283,0.309
10.5,256.967,0.447
10.53,258.792,0.401
10.57,260.547,0.389
10.6,262.547,0.493
10.63,264.478,0.424
10.66,265.952,0.241
10.7,267.004,0.241
10.73,268.338,0.344
10.76,269.952,0.389
10.79,271.848,0.47
10.83,274.059,0.504
10.86,276.234,0.447
10.89,277.498,0.172
10.92,277.814,-0.034
10.96,278.13,0.115
10.99,278.902,0.286
11.02,280.341,0.367
11.05,282.236,0.481
11.09,284.587,0.561
11.12,286.868,0.493
11.15,288.553,0.286
11.18,289.5,0.16
11.22,290.273,0.149
11.25,291.15,0.252
11.28,291.782,0.057
11.31,292.589,0.275
11.35,294.028,0.401
11.38,295.291,0.183
11.41,295.923,0.115
11.44,296.66,0.195
11.48,296.87,-0.057
11.51,296.484,-0.126
11.54,296.555,0.16
11.57,297.502,0.298
11.61,298.099,0.023
11.64,298.555,0.137
11.67,299.467,0.298
11.7,300.134,0.057
11.74,300.345,0.057
11.77,300.626,0.092
11.8,300.906,0.046
11.83,301.292,0.126
11.87,302.029,0.206
11.9,302.696,0.115
11.93,302.802,-0.034
11.96,302.38,-0.149
12.0,301.222,-0.332
12.03,299.432,-0.447
12.06,297.678,-0.332
12.09,297.186,0.069
12.13,297.783,0.241
12.16,298.415,0.092
12.19,298.204,-0.16
12.22,296.765,-0.412
12.26,294.484,-0.607
12.29,291.887,-0.573
12.32,289.922,-0.309
12.35,289.395,0.08
12.39,289.922,0.195
12.42,290.202,-0.023
12.45,289.185,-0.367
12.48,286.868,-0.664
12.52,283.64,-0.756
12.55,280.551,-0.619
12.58,278.586,-0.286
12.61,278.13,0.08
12.65,278.656,0.172
12.68,278.902,0.011
12.71,278.165,-0.263
12.74,276.129,-0.596
12.78,273.076,-0.756
12.81,270.058,-0.63
12.84,267.776,-0.378
12.87,266.513,-0.183
12.91,265.811,-0.092
12.94,265.32,-0.103
12.97,264.337,-0.298
13.0,262.302,-0.584
13.04,259.354,-0.733
13.07,256.3,-0.63
13.1,254.054,-0.378
13.13,252.405,-0.321
13.17,251.317,-0.16
13.2,250.861,0.011
13.23,249.738,-0.389
13.26,247.141,-0.756
13.3,243.947,-0.687
13.33,241.525,-0.424
13.36,239.7,-0.355
13.39,238.437,-0.195
13.43,237.454,-0.195
13.46,235.945,-0.435
13.49,233.945,-0.47
13.52,231.664,-0.504
13.56,228.961,-0.664
13.59,226.294,-0.527
13.62,224.68,-0.183
13.65,223.872,-0.126
13.69,222.925,-0.286
13.72,221.24,-0.424
13.75,218.748,-0.676
13.78,215.028,-0.939
13.82,210.957,-0.905
13.85,207.378,-0.676
13.88,204.886,-0.435
13.91,203.482,-0.183
13.95,202.85,-0.069
13.98,202.148,-0.195
14.01,200.464,-0.504
14.04,197.411,-0.825
14.08,193.48,-0.928
14.11,189.514,-0.848
14.14,186.075,-0.676
14.17,183.653,-0.401
14.21,182.214,-0.206
14.24,180.846,-0.344
14.27,178.354,-0.699
14.3,174.809,-0.871
14.34,170.844,-0.871
14.37,166.913,-0.871
14.4,163.368,-0.699
14.43,160.912,-0.389
14.47,159.332,-0.252
14.5,157.648,-0.447
14.53,154.665,-0.79
14.56,150.909,-0.905
14.6,146.979,-0.825
14.63,143.469,-0.733
14.66,140.591,-0.561
14.69,138.24,-0.447
14.73,135.783,-0.596
14.76,132.8,-0.71
14.79,129.501,-0.756
14.82,125.957,-0.813
14.86,121.991,-0.939
14.89,117.674,-0.962
14.92,113.498,-0.882
14.96,110.059,-0.653
14.99,107.251,-0.584
15.02,104.233,-0.71
15.05,100.618,-0.871
15.09,96.371,-0.974
15.12,91.739,-1.077
15.15,87.036,-1.02
15.18,82.649,-0.905
15.22,79.14,-0.664
15.25,76.262,-0.573
15.28,73.56,-0.607
15.31,70.612,-0.676
15.35,67.242,-0.79
15.38,63.347,-0.916
15.41,59.241,-0.916
15.44,55.38,-0.813
15.48,52.116,-0.63
15.51,49.379,-0.584
15.54,46.431,-0.676
15.57,43.062,-0.813
15.61,39.096,-0.939
15.64,34.604,-1.02
15.67,30.077,-0.974
15.7,25.97,-0.836
15.74,22.461,-0.71
15.77,19.337,-0.664
15.8,16.319,-0.664
15.83,13.161,-0.71
15.87,9.756,-0.779
15.9,6.001,-0.848
15.93,2.176,-0.836
15.96,-1.649,-0.871
16.0,-5.545,-0.848
16.03,-8.949,-0.664
16.06,-12.003,-0.687
16.09,-15.758,-0.928
16.13,-20.004,-0.985
16.16,-24.075,-0.813
16.19,-27.304,-0.63
16.22,-30.287,-0.664
