Trigger_Date,2023/07/06
Trigger_Time,T 15:49:23.422 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.563
Time (ms),Voltage (V),Current (A)
13.81,0.14,0.011
13.84,0.105,0.011
13.87,0.105,0.023
13.9,0.07,0.023
13.94,0.07,0.023
13.97,0.07,0.023
14.0,0.14,0.011
14.03,0.07,0.023
14.07,0.07,0.023
14.1,0.07,0.023
14.13,0.105,0.011
14.16,0.07,0.023
14.2,0.07,0.011
14.23,0.07,0.011
14.26,0.07,0.011
14.3,0.105,0.023
14.33,0.105,0.011
14.36,0.07,0.011
14.39,0.105,0.023
14.43,0.105,0.023
14.46,0.105,0.023
14.49,0.105,0.023
14.52,0.035,0.023
14.56,0.105,0.011
14.59,0.07,0.011
14.62,0.07,0.011
14.65,0.14,0.011
14.69,0.07,0.023
14.72,0.105,0.023
14.75,0.07,0.023
14.78,0.105,0.011
14.82,0.105,0.011
14.85,0.07,0.011
14.88,0.105,0.011
14.91,0.07,0.011
14.95,0.07,0.011
14.98,0.07,0.011
15.01,0.07,0.011
15.04,0.07,0.011
15.08,0.07,0.011
15.11,0.105,0.011
15.14,0.105,0.011
15.17,0.07,0.023
15.21,0.07,0.023
15.24,0.105,0.034
15.27,0.07,0.023
15.3,0.105,0.023
15.34,0.07,0.011
15.37,0.07,0.023
15.4,0.105,0.011
15.43,0.07,0.023
15.47,0.07,0.023
15.5,0.105,0.011
15.53,0.07,0.011
15.57,0.07,0.011
15.6,0.105,0.011
15.63,0.07,0.011
15.66,0.105,0.023
15.7,0.105,0.011
15.73,0.07,0.011
15.76,0.07,0.011
15.79,0.07,0.011
15.83,0.07,0.011
15.86,0.07,0.011
15.89,0.14,0.011
15.92,0.07,0.023
15.96,0.07,0.011
15.99,0.105,0.023
16.02,0.07,0.011
16.05,0.07,0.011
16.09,0.07,0.023
16.12,0.07,0.011
16.15,0.105,0.011
16.18,0.07,0.011
16.22,0.105,0.023
16.25,0.07,0.023
16.28,0.105,0.011
16.31,0.105,0.023
16.35,0.07,0.011
16.38,0.07,0.034
16.41,0.07,0.011
16.44,0.105,0.023
16.48,0.07,0.023
16.51,0.07,0.011
16.54,0.07,0.011
16.57,0.105,0.011
16.61,0.07,0.023
16.64,0.07,0.023
16.67,0.07,0.011
16.7,0.14,0.023
16.74,0.14,0.023
16.77,0.105,0.011
16.8,0.07,0.011
16.84,0.07,0.011
16.87,0.07,0.023
16.9,0.105,0.023
16.93,0.14,0.023
16.97,0.07,0.023
17.0,0.14,0.011
17.03,0.07,0.023
17.06,0.14,0.023
17.1,0.105,0.011
17.13,0.105,0.011
17.16,0.105,0.023
17.19,0.07,0.011
17.23,0.105,0.023
17.26,0.07,0.023
17.29,0.105,0.011
17.32,0.07,0.011
17.36,0.14,0.023
17.39,0.07,0.011
17.42,0.105,0.011
17.45,0.07,0.011
17.49,0.105,0.023
17.52,0.105,0.023
17.55,0.07,0.011
17.58,0.105,0.011
17.62,0.07,0.011
17.65,0.07,0.011
17.68,0.07,0.011
17.71,0.105,0.023
17.75,0.07,0.023
17.78,0.07,0.023
17.81,0.105,0.023
17.84,0.07,0.011
17.88,0.07,0.011
17.91,0.07,0.011
17.94,0.105,0.011
17.97,0.105,0.023
18.01,0.07,0.023
18.04,0.035,0.011
18.07,0.105,0.011
18.11,0.07,0.011
18.14,0.105,0.011
18.17,0.07,0.023
18.2,0.105,0.023
18.24,0.105,0.011
18.27,0.07,0.011
18.3,0.07,0.023
18.33,0.105,0.011
18.37,0.14,0.011
18.4,0.07,0.011
18.43,0.07,0.023
18.46,0.105,0.023
18.5,0.07,0.011
18.53,0.105,0.023
18.56,0.105,0.011
18.59,0.14,0.011
18.63,0.105,0.011
18.66,0.105,0.011
18.69,0.105,0.011
